Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
CL(i-12:0/14:0/14:0/i-22:0),0.002426467,0.001352559,0.004410034,0.000451711,0.000271258,0.000152052,0.011333472,0.000309282,0.002839239,0.003430829,0.006529971,0.002385821,0.000596741,0.006520493,0.088419117,0.018931116,0.013618273,0.001154004,0.00219051,0.004815133
"CL(i-12:0/18:2(9Z,11Z)/i-22:0/18:2(9Z,11Z))",0.000856845,0.000127547,0.001658501,6.56403e-05,0.000312755,0.000153531,0.001883203,0.000151228,0.00094635,0.001006747,0.001475232,0.000644711,0.000321374,0.001428929,0.010178305,0.004944159,0.001158432,5.71158e-05,0.000544524,0.00091525
"CL(i-13:0/18:2(9Z,11Z)/18:2(9Z,11Z)/a-25:0)[rac]",0.01875317,0.035624983,0.013500056,0.419901985,0.046728754,0.24534155,0.00681478,0.007221296,0.00352006,0.002944107,0.055924122,0.005725248,0.316933098,0.007973725,0.012767659,0.222430784,0.049902537,0.00645628,0.099337292,0.01065713
"CL(i-13:0/18:2(9Z,11Z)/i-22:0/i-22:0)",0.102687171,0.853146119,0.193667801,2.441064184,0.451818295,3.339932531,0.037118695,0.217456569,0.035488923,0.043426353,0.549428057,0.100635618,2.301857701,0.042408479,0.143158634,1.934876048,0.300451846,0.083656339,0.853231825,0.078054143
CL(i-14:0/a-13:0/i-14:0/a-13:0)[rac],0.008497792,0.001797984,0.020474233,0.000422312,0.000276503,0.00051581,0.013367336,0.000726005,0.009511999,0.011346754,0.016781689,0.024972521,0.00195497,0.017988892,0.025374585,0.026356634,0.023771288,0.002444709,0.010605053,0.023343261
CL(i-14:0/i-14:0/i-16:0/i-22:0),0.005711497,0.023781511,0.003615775,0.157192562,0.071753571,0.166261154,0.001629242,0.003998904,0.003876193,0.003214725,0.091369341,0.013354117,1.45910097,0.008357374,0.008582881,0.042992294,0.070263414,0.005649419,0.239977915,0.042280105
CL(i-15:0/16:0/a-17:0/20:0),0.003740641,0.004344943,0.000957688,0.023206464,0.003164818,0.013846011,0.0005747,0.001100048,0.000479029,0.003175014,0.00701448,0.003048561,0.118499933,0.001552113,0.001729705,0.004096071,0.007666732,0.001151825,0.163262908,0.005020166
CL(i-15:0/17:0/i-20:0/i-20:0),0.000427447,0.001441253,0.001164137,0.005083319,0.002355146,0.003047938,0.000555987,0.000573975,0.00027647,0.000767697,0.001409515,0.00088011,0.006103054,0.001735655,0.001802016,0.002492687,0.003045154,0.000497188,0.006297074,0.000939202
"CL(i-15:0/18:2(9Z,11Z)/18:2(9Z,11Z)/i-24:0)",0.0,0.140541875,0.075283723,1.556790027,0.149766419,1.357787721,0.024596659,0.0,0.0,0.109768176,0.151081274,0.015773536,1.070329745,0.041889012,0.029467104,1.254482487,0.08530521,0.0,0.25836326,0.007374562
Capsiamide,0.003511877,0.001693496,0.005914137,0.002291684,0.00097804,0.00230348,0.002015345,0.004218597,0.003669989,0.003932671,0.001661917,0.003212297,0.001138418,0.002225692,0.001474036,0.001419214,0.002625127,0.003947203,0.002064278,0.000768621
